xrsa_flux,xrsb_flux,status,flare_class
1e-09,1.5619143e-07,EVENT_START,nan
3.1246734e-09,3.1970816e-07,EVENT_PEAK,B3.1
5.7087104e-09,2.2365057e-07,EVENT_END,nan
3.288514e-09,1.4953285e-07,POST_EVENT,nan
1e-09,1.3641902e-07,EVENT_START,nan
2.8182146e-08,4.468007e-07,EVENT_PEAK,B4.4
6.324302e-09,2.520987e-07,EVENT_END,nan
9.192902e-09,1.4020851e-07,POST_EVENT,nan
7.98682e-09,1.1554669e-07,EVENT_START,nan
1.0921269e-08,1.6681004e-07,EVENT_PEAK,B1.6
8.278466e-09,1.3005942e-07,EVENT_END,nan
8.221606e-09,1.13740214e-07,POST_EVENT,nan
8.406195e-09,9.7545424e-08,EVENT_START,nan
1.2389897e-08,1.8488885e-07,EVENT_PEAK,B1.8
3.2222296e-09,1.2325597e-07,EVENT_END,nan
3.533023e-09,9.659675e-08,POST_EVENT,nan
1e-09,1.0562131e-07,EVENT_START,nan
1e-09,1.5334221e-07,EVENT_PEAK,B1.5
1e-09,1.2150346e-07,EVENT_END,nan
1e-09,1.05005704e-07,POST_EVENT,nan
1e-09,7.86844e-08,EVENT_START,nan
1e-09,1.55131e-07,EVENT_PEAK,B1.5
1e-09,9.697458e-08,EVENT_END,nan
1e-09,8.0727844e-08,POST_EVENT,nan
1e-09,8.0727844e-08,EVENT_START,nan
1e-09,1.3143728e-07,EVENT_PEAK,B1.3
1e-09,8.278503e-08,EVENT_END,nan
1e-09,7.8723744e-08,POST_EVENT,nan
1e-09,5.991866e-08,EVENT_START,nan
1e-09,1.4079536e-07,EVENT_PEAK,B1.4
1e-09,1.329056e-07,EVENT_START,nan
1e-09,1.5025353e-07,EVENT_PEAK,B1.5
1e-09,1.4055479e-07,EVENT_END,nan
1e-09,1.3125876e-07,POST_EVENT,nan
1e-09,8.391724e-08,EVENT_START,nan
1e-09,1.2196013e-07,EVENT_PEAK,B1.2
1e-09,9.870407e-08,EVENT_END,nan
1e-09,8.939837e-08,EVENT_START,nan
1e-09,1.3389699e-07,EVENT_PEAK,B1.3
1e-09,9.89426e-08,EVENT_END,nan
1e-09,8.582151e-08,POST_EVENT,nan
1e-09,8.503596e-08,EVENT_START,nan
1e-09,1.5843541e-07,EVENT_PEAK,B1.5
1e-09,1.0647348e-07,EVENT_END,nan
1e-09,8.300732e-08,POST_EVENT,nan
1e-09,6.5050976e-08,EVENT_START,nan
1e-09,1.1671429e-07,EVENT_PEAK,B1.1
1e-09,9.517592e-08,EVENT_START,nan
1e-09,2.5059404e-07,EVENT_PEAK,B2.5
1e-09,1.6038655e-07,EVENT_END,nan
1e-09,9.4029915e-08,POST_EVENT,nan
1e-09,4.4051813e-08,EVENT_START,nan
1e-09,1.1254862e-07,EVENT_PEAK,B1.1
1e-09,8.463946e-08,EVENT_END,nan
1e-09,8.039593e-08,EVENT_START,nan
